RE:FORM  요구사항 정의서,,,,,,,,,
구분,요구사항 ID,대분류,중분류,소분류,요구사항명,요구사항 상세,비고,,
기능,REQ-AUC-002,경매,심사,관리자 심사,관리자 경매 심사 및 승인,"- 관리자가 증빙 자료를 검토하고 승인/반려 결정
- 승인 시 비공개 상한가, 경매 종료 시간, 입찰 자격(회원 가입 연도, 활동 포인트) 설정 후 경매 대기글 게시",,,
기능,REQ-AUC-003,경매,알림,관심 알림,"관심 팀·종목 구독자 
경매 알림",- 관심 팀·종목을 설정한 사용자에게 해당 유니폼의 경매 대기글 게시 시 알림 발송,,,
기능,REQ-AUC-004,경매,관심,경매 관심,경매 참여 희망자 수 표시,"- 경매 대기글에 참여 희망자 수(관심 등록 수) 표시
- 사용자가 관심 등록을 하면 경매 시작 알림 추가로 수신",,,
기능,REQ-AUC-005,경매,자격,입찰 자격,"활동 포인트 기반 
입찰 자격 검증","- 입찰 시 회원의 활동 포인트가 기준치 이상인지 확인
- 기준 미달 시 입찰 불가 안내 메시지 노출",,,
기능,REQ-AUC-006,경매,진행,경매 진행,"비공개 상한가 및 
제한 시간 경매","- 관리자가 설정한 비공개 상한가와 경매 종료 시간 내에서 입찰 진행
- 상한가 도달 시 즉시 자동 낙찰 처리",,,
기능,REQ-AUC-007,경매,진행,실시간 입찰,실시간 입찰 현황 조회,"- WebSocket을 통해 현재 최고 입찰가, 입찰 횟수, 남은 시간 실시간 표시",,,
기능,REQ-AUC-008,경매,낙찰,낙찰 처리,경매 낙찰 및 결제 연동,"- 경매 종료 시 최고 입찰자에게 낙찰 알림 발송
- 알림 통해 결제 페이지 연결
- 이후 일반 거래 정산 흐름과 동일하게 처리",,,
기능,REQ-CHT-001,채팅,기본,채팅방 생성,1:1 거래 채팅방 생성,"- 구매 의사 표시 시 구매자-판매자 간 1:1 채팅방 자동 생성
- 같은 판매글에 대해 중복 채팅방 생성하지 않음",,,
기능,REQ-CHT-002,채팅,기본,실시간 메시지,실시간 메시지 송수신,"- WebSocket + STOMP 기반 실시간 메시지 송수신
- 텍스트 및 이미지 전송 지원",,,
기능,REQ-CHT-003,채팅,기본,읽음 여부,메시지 읽음 여부 표시,"- 메시지 발송 후 상대방이 읽은 경우 읽음 표시 노출
- 채팅방 목록에서 미읽음 메시지 수를 배지로 표시",,,
기능,REQ-CHT-004,채팅,알림,메시지 알림,미읽음 메시지 알림,- 채팅방 밖에 있을 때 새 메시지가 오면 알림 배지 및 알림 발송,,,
기능,REQ-CHT-005,채팅,안전,위험 문구 탐지,채팅 내 위험 문구 실시간 탐지,"- 외부 결제 유도, 선입금 요구, 개인정보 요청, 외부 연락처 유도 등의 표현을 Spring AI가 실시간 탐지 후 발송자에게 경고 메시지 표시",* 경고 메시지 누적 횟수를 관리자가 볼 수 있게 하여 비정상적 회원 경고 후 정지 처리 할 수 있는 권한 *,,
기능,REQ-PAY-001,결제/정산,결제,안전결제,"Toss Payments 
에스크로 결제","- 판매자 수락 후 구매자가 Toss Payments를 통해 결제
- 결제 금액은 에스크로로 보관되며 구매 확정 전까지 판매자에게 전달되지 않음",,,
기능,REQ-PAY-002,결제/정산,결제,결제 상태 관리,결제 상태 흐름 관리,"- 상태 흐름 관리 : READY → PAID → FAILED / CANCELED / REFUNDED 
- 각 상태 전환 시 구매자에게 알림 발송",,,
기능,REQ-PAY-003,결제/정산,정산,포인트 지급,"Spring Batch 
판매자 포인트 정산","- 구매 확정 완료 거래를 배치로 추출 → 플랫폼 수수료 계산, 판매자 포인트 지급
- tradeId unique 제약으로 중복 지급 방지",,,
기능,REQ-PAY-004,결제/정산,정산,자동 구매 확정,"일정 기간 미확정 시 
자동 구매 확정",- 배송 완료 후 일정 기간(5일) 내 구매자가 구매 확정을 하지 않으면 Spring Batch가 자동으로 구매 확정 처리,,,
기능,REQ-PAY-005,결제/정산,포인트,포인트 조회,"판매자 포인트 
마이페이지 조회","- 보유 포인트, 출금 가능 포인트, 출금 대기 포인트, 포인트 적립·차감 이력을 마이페이지에서 조회",,,
